SLC,Eng,Math,Physics,Chemistry,Plus_Two,Eng1,Math2,Phy_Acc,Che_Eco,Mixed,GPA,GPAM,GPAA,School_From,Parent_Education,Pass
3.05,2,2.4,2.4,3.2,2.46,41,44,40,33,38.5,2.94,75,B,Private,Master,1
3.1,2.8,4,2.8,3.2,3.19,44,46,40,38,39,2.8,75,B,Private,SLC,1
3.5,2,2.8,2.8,2.8,2.71,47,47,46,43,46,3.88,90,A,Govt,Bachelor,1
3.2,2.8,4,3.2,2.8,3.2,40,45,42,35,43.5,2.66,70,B-,Govt,PlusTwo,1
3.1,2.8,3.2,3.6,3.2,3.19,41,38,38,29,39.5,2.66,70,B-,Private,PlusTwo,1
2.7,3.2,4,2.8,3.2,3.33,47,48,43,31,47,3.4,85,A-,Private,SLC,1
2.75,2.8,3.2,2.4,3.6,3.02,43,35,40,38,39,0,0,F,Private,SLC,0
3.5,3.2,4,3.6,3.6,3.44,44,42,42,33,39.5,3.28,80,B+,Private,SLC,1
3.5,2.4,3.6,2.8,3.6,3.11,44,41,38,35,39,3.14,80,B+,Govt,SLC,1
3.55,3.2,4,3.2,3.6,3.07,47,47,47,38,47,3.74,90,A,Govt,SLC,1
3.15,2.4,3.6,2.8,3.6,3.11,48,30,35,30,37.5,2.6,70,B-,Govt,SLC,1
3.75,3.2,4,3.2,4,3.52,48,49,49,45,49,3.94,90,A,Private,SLC,1
3.65,3.2,3.6,2.8,3.6,3.12,38,35,27,27,38.5,1.7,55,C-,Govt,SLC,1
3.2,3.6,3.2,2.8,3.2,3.21,42,45,38,29,35.5,0,0,F,Private,SLC,0
3.4,2.4,2.8,2.4,3.2,2.9,49,48,45,45,39.5,3.74,90,A,Private,SLC,1
3.6,2.4,2.8,2.4,3.2,2.9,47,46,38,44,45,3.26,80,B+,Private,SLC,1
2.95,2.8,4,2.8,3.6,3.2,43,46,40,37,36.5,2.74,75,B,Govt,SLC,1
3.55,2.8,3.2,3.2,3.2,3.04,47,33,33,35,37,2.94,75,B,Govt,SLC,1
3.3,2.8,3.6,2.8,3.2,3.43,45,48,43,41,48,3.6,85,A-,Govt,SLC,1
3.45,2.8,3.2,3.2,2.8,3.01,44,35,25,0,36,0,0,F,Govt,SLC,0
3.5,2.8,2.4,2.4,2.8,2.64,44,41,42,37,39,3.18,80,B+,Private,SLC,1
3.5,2.8,3.6,3.2,3.2,3.12,44,41,40,32,38.5,2.74,75,B,Govt,SLC,1
3.2,2,2.8,2,2.8,2.4,42,39,43,29,38.5,2.34,70,B-,Govt,SLC,1
3.2,2.8,2,3.2,2,2.4,47,35,40,40,38.5,0,0,F,Private,SLC,0
2.9,2.8,4,2.4,2.8,2.88,42,48,46,31,40.5,2.82,75,B,Private,Bachelor,1
3.4,2.8,2,2,2,3.29,45,48,40,33,48,3.6,85,A-,Private,PlusTwo,1
3.35,2.8,3.6,2.8,2.8,2.96,44,42,38,33,41.5,0,0,F,Private,Bachelor,0
3.3,3.2,3.2,3.2,2.8,3.01,40,39,30,37,35,0,0,F,Govt,SLC,0
3.65,3.6,2.8,3.2,3.2,3.12,46,49,46,48,47,3.74,90,A,Private,SLC,1
3.3,3.2,2.8,3.2,2.8,3.01,46,41,41,30,40.5,2.42,70,B-,Private,SLC,1
3.35,2.8,3.2,2.8,3.6,3.17,46,46,45,36,44.5,3.12,80,B+,Govt,SLC,1
2.25,2,2.4,1.6,2,2.32,43,28,44,38,39,0,0,F,Private,SLC,0
3.1,2.8,2.8,2,2,2.61,28,29,42,0,30,0,0,F,Private,SLC,0
3.3,2,2,2,2,2.52,38,43,45,36,39,0,0,F,Govt,SLC,0
2.75,2.8,3.6,3.2,2.8,2.8,35,25,41,38,28,0,0,F,Govt,SLC,0
3.1,2.8,2.8,2.4,2.8,2.56,40,48,45,36,33,0,0,F,Private,SLC,0
3.35,3.2,3.2,3.2,3.2,2.96,31,27,41,34,37,0,0,F,Govt,SLC,0
3.2,2.4,3.2,2.8,3.2,2.56,38,43,41,37,37,0,0,F,Govt,SLC,0
3.05,2.8,2,2.8,2,2.44,43,43,42,32,29,0,0,F,Private,SLC,0
2.9,2.4,2,2.8,2.4,2.4,47,27,43,36,37,0,0,F,Private,SLC,0
3.75,2.4,2.8,2.8,2.4,2.71,47,39,45,44,42,3.28,80,B+,Private,SLC,1
3.8,2.8,3.2,3.2,2.8,2.64,45,44,43,40,38,2.74,75,B,Private,SLC,1
3.15,2.8,3.2,3.2,3.6,2.88,40,29,42,29,30,0,0,F,Private,SLC,0
3.4,2.8,2,2,2.8,2.92,45,44,46,43,42,0,0,F,Private,SLC,0
3.4,2.8,2,2,2.8,2.9,29,42,42,37,34,0,0,F,Private,Bachelor,0
3.35,2.8,2,2.8,2,2.11,25,25,42,28,33,2.1,65,C+,Private,PlusTwo,1
3.35,2.8,2,2.8,2.8,2.8,40,44,46,41,38,3.54,85,A-,Private,Bachelor,1
2.72,2.8,2.8,2.8,3.2,2.42,40,39,42,43,39,0,0,F,Govt,SLC,0
3.2,2.4,2.8,2.4,2.4,2.16,26,25,42,31,23,0,0,F,Govt,SLC,0
3.7,1.6,2,2.8,2,3.32,42,43,46,39,38,0,0,F,Private,SLC,0
3,2.4,2.8,2.4,2.8,2.16,42,43,46,41,37,0,0,F,Private,SLC,0
3.2,2,2.8,2,2,3,41,38,45,33,33,0,0,F,Private,SLC,0
3.1,2,2,2.8,2.8,3.1,40,47,44,40,33,3.4,85,A-,Govt,SLC,1
3.6,2.8,3.2,2.4,3.2,2.56,31,25,40,30,23,0,0,F,Govt,SLC,0
3.6,3.2,3.6,3.2,3.6,2.96,43,28,44,36,36,2.1,65,C+,Private,Bachelor,1
2.75,2.4,3.2,2.8,3.2,2.64,39,38,45,34,29,0,0,F,Private,PlusTwo,0
4,3.2,2.4,2.8,2,2.79,47,40,44,45,36,0,0,F,Private,Bachelor,0
3.4,3.6,2.4,2,2,2.39,44,44,46,38,35,0,0,F,Govt,SLC,0
3.55,3.6,2,2.8,2,2.35,42,40,43,38,37,1.9,60,C,Govt,SLC,1
3.5,2.8,2,2,2.8,2.84,39,43,45,38,38,2.66,70,B-,Private,SLC,1
3.45,3.6,3.6,3.6,3.6,3.04,47,45,46,45,45,3.94,90,A,Govt,SLC,1
3.3,2,2.8,2.8,2,2.76,37,30,42,39,38,2.74,75,B,Govt,SLC,1
3.45,3.2,3.6,3.2,3.6,3.28,39,31,45,42,39,0,0,F,Govt,SLC,0
3.15,3.2,3.6,2.8,3.6,2.64,35,25,41,37,28,0,0,F,Private,SLC,0
3.52,2.8,3.6,3.2,3.2,2.96,48,25,41,40,36,0,0,F,Private,SLC,0
3.45,2.8,2,2.8,2.8,2.75,33,24,43,25,23,0,0,F,Private,SLC,0
3.45,2.8,2,3.6,3.2,2.88,47,38,46,41,25,3.02,80,B+,Govt,SLC,1
3.25,3.2,2.4,1.6,2.4,2.4,26,38,41,24,23,0,0,F,Private,SLC,0
3.25,2.8,3.2,2,3.6,3.12,30,29,42,23,23,0,0,F,Private,SLC,0
2.95,2,2.8,2.8,2,2.91,41,30,45,36,36,0,0,F,Private,Bachelor,0
3.3,3.6,2.8,2,2,2.57,42,38,45,37,35,1.9,60,C,Private,PlusTwo,1
3.2,3.2,3.6,2.8,3.2,2.88,43,44,43,38,32,2.84,75,B,Private,Bachelor,1
2.5,2,2.8,2,2.4,2.96,45,44,43,46,40,3.28,80,B+,Govt,SLC,1
3.65,3.2,3.6,3.2,4,3.12,42,38,42,38,38,2.56,70,B-,Govt,SLC,1
3,2.8,2.8,2.8,3.6,2.66,42,35,41,40,35,0,0,F,Private,SLC,0
2.82,3.2,3.6,3.2,3.2,2.88,41,40,46,36,33,0,0,F,Private,SLC,0
3.05,3.6,2.8,3.2,2.8,3.04,43,28,44,38,39,0,0,F,Private,SLC,0
2.3,2,1.6,2.4,1.2,2.17,27,33,34,23,24,0,0,F,Private,SLC,0
