Faculty,Program,SLC,Eng,Math,Physics,Chemistry,Plus_Two,Eng1,Math2,Phy_Acc,Che_Eco,Mixed,School_From_Govt,School_From_Private,Parent_Education_Bachelor,Parent_Education_Master,Parent_Education_PHD,Parent_Education_PlusTwo,Parent_Education_SLC,GPAA,Pass,GPAM,GPA
Engineering,BE.Software Eng,0.890325703,1.166341777,1.018508131,1.243527231,1.134001315,1.213602322,-0.457252082,-0.809212301,0.693586162,0.041354187,-0.697577051,0,1,0,0,0,1,0,B+,1,80,3.13
Engineering,BE.Software Eng,1.168430253,1.166341777,1.018508131,-0.120898481,1.787914482,1.132329717,-0.052723384,0.968669633,0.998935859,0.601408037,0.928988207,1,0,0,1,0,0,0,A-,1,85,3.31
Engineering,BE.Software Eng,1.307482527,0.384012528,0.381604629,-1.485324193,-0.827738186,-0.520213259,-0.187566283,-1.082732598,-0.069788081,0.18136765,-0.94781786,0,1,0,1,0,0,0,F,0,0,0
Engineering,BE.Software Eng,0.779083884,0.384012528,0.381604629,0.561314375,-0.173825019,0.698875822,-0.052723384,-1.082732598,0.84626101,0.881434962,-0.94781786,0,1,0,0,0,1,0,B-,1,70,2.63
Engineering,BE.Software Eng,0.473168879,-0.39831672,0.381604629,-0.120898481,0.480088148,0.319603663,-0.86178078,-2.04005364,0.235561616,0.741421499,-1.823660691,1,0,1,0,0,0,0,F,0,0,0
Engineering,BE.Software Eng,0.473168879,-0.39831672,0.381604629,0.561314375,0.480088148,0.319603663,0.621491113,0.011348592,0.693586162,0.741421499,0.053145376,0,1,0,0,0,0,1,F,0,0,0
Engineering,BE.Software Eng,1.446534802,0.384012528,-0.255298872,-0.120898481,-0.173825019,-0.059668495,-2.075366875,-2.176813788,-0.069788081,0.881434962,-1.948781096,1,0,1,0,0,0,0,B,1,75,2.74
Engineering,BE.Software Eng,0.584410699,-0.39831672,0.381604629,-0.120898481,-0.827738186,-0.059668495,-0.052723384,-1.082732598,0.998935859,0.18136765,-0.94781786,0,1,1,0,0,0,0,F,0,0,0
Engineering,BE.Software Eng,1.168430253,-0.39831672,0.381604629,-0.120898481,-0.827738186,-0.059668495,-0.726937881,0.011348592,0.84626101,0.741421499,0.053145376,0,1,1,0,0,0,0,B,1,75,2.94
Engineering,BE.Software Eng,1.057188433,-1.180645968,-0.255298872,-0.120898481,0.480088148,-0.438940653,-1.535995277,0.284868889,0.693586162,0.461394575,0.303386185,1,0,0,1,0,0,0,B,1,75,2.78
